latent_0,latent_1,latent_2,latent_3,latent_4,latent_5,latent_6,latent_7,latent_8,latent_9,latent_10,latent_11,latent_12,latent_13,latent_14,latent_15,latent_16,latent_17,latent_18,latent_19,date,,,,,,,,,
0,0.10939984,0,0,0.10293303,0,0.033389624,0.18970956,0.1254567,0,0,0.10419899,0,0.09388496,0.005970701,0.073699445,0.008954212,0,0,0.07228652,2019-08-09,,,,,,,,,
0,0.109084845,0,0,0.10404991,0,0.030620784,0.19105144,0.1259063,0,0,0.105388716,0,0.09195374,0.005977651,0.07034302,0.010433087,0,0,0.07275698,2019-08-12,,,,,,,,,
0,0.11151782,0,0,0.086522385,0,0.026128069,0.19053817,0.13548505,0,0,0.10937819,0,0.08641218,0.003514372,0.070798084,0.01885427,0,0,0.06506517,2019-08-13,,,,,,,,,
0,0.11170573,0,0,0.08800519,0,0.027445544,0.19061345,0.13646868,0,0,0.10870889,0,0.08753188,0.005155349,0.07061474,0.019813528,0,0,0.06388376,2019-08-14,,,,,,,,,
0,0.09872802,0,0,0.08856826,0,0.014550394,0.19807076,0.14218216,0,0,0.10589189,0,0.10382489,0,0.07051483,0.028389942,0,0.006403339,0.06730496,2019-08-16,,,,,,,,,
0,0.09506137,0,0,0.09127624,0,0.017250123,0.1972509,0.13982056,0,0,0.10568387,0,0.1016462,0,0.06842319,0.028300084,0,0.004023068,0.06685163,2019-08-19,,,,,,,,,
0,0.09558097,0,0,0.09015372,0,0.017044334,0.19752614,0.14199023,0,0,0.106203854,0,0.098631546,0,0.06746224,0.027502978,0,0.000379441,0.06625965,2019-08-20,,,,,,,,,
0,0.10057407,0,0,0.09006181,0,0.024835413,0.19186397,0.13760188,0,0,0.10708252,0,0.092896976,0,0.06810666,0.022595435,0,0,0.06601529,2019-08-21,,,,,,,,,
0,0.100907475,0,0,0.09427292,0,0.031628855,0.18509662,0.12769546,0,0,0.10551733,0,0.092800185,0,0.06880977,0.016621556,0,0,0.067731604,2019-08-22,,,,,,,,,
0,0.1035014,0,0,0.097676955,0,0.03804183,0.1847848,0.1221209,0,0,0.10541052,0,0.08691356,0.003987736,0.072766684,0.013676928,0,0,0.067408964,2019-08-23,,,,,,,,,
0,0.10451367,0,0,0.10186164,0,0.03793239,0.18237355,0.11680865,0,0,0.103101216,0,0.08648488,0.00773867,0.07442547,0.010515998,0,0,0.06859437,2019-08-26,,,,,,,,,
0,0.09788224,0,0,0.10665737,0,0.029174533,0.18803068,0.119338155,0,0,0.10193926,0,0.08934999,0.004481568,0.06903047,0.015055137,0,0,0.06934324,2019-08-27,,,,,,,,,
0,0.09795397,0,0,0.10217161,0,0.02628103,0.18675111,0.12204621,0,0,0.10182488,0,0.08734344,0.00391962,0.06856438,0.017418433,0,0,0.06585087,2019-08-28,,,,,,,,,
