latent_0,latent_1,latent_2,latent_3,latent_4,latent_5,latent_6,latent_7,latent_8,latent_9,latent_10,latent_11,latent_12,latent_13,latent_14,date
0.14904392,0.8006543,0,0,4.1522703,3.0100589,0.5909097,3.8329055,0,0,0,0,0.6299558,0.26056552,0.70431155,2016-04-05
0.14360067,0.7835902,0,0,4.1391287,2.995978,0.60690385,3.8328955,0,0,0,0,0.6098214,0.24573582,0.68429977,2016-04-06
0.13594398,0.7638395,0,0,4.1262856,2.9793954,0.6241673,3.8341734,0,0,0,0,0.59001225,0.23230138,0.66116035,2016-04-07
0.123456895,0.73974895,0,0,4.120116,2.9625313,0.6433494,3.8373296,0,0,0,0,0.5757848,0.23170385,0.64008963,2016-04-08
0.11255784,0.7159902,0,0,4.098181,2.9342375,0.6594667,3.8233514,0,0,0,0,0.5586513,0.23038521,0.6188281,2016-04-11
0.09767439,0.6918515,0,0,4.0789156,2.9122481,0.6792748,3.8157775,0,0,0,0,0.5442646,0.23194444,0.6011137,2016-04-12
0.08506399,0.67095864,0,0,4.046774,2.8860478,0.70206666,3.8028677,0,0,0,0,0.5225284,0.22410107,0.5788892,2016-04-14
0.067193255,0.6412735,0,0,4.010521,2.8528235,0.72454005,3.7855625,0,0,0,0,0.49956107,0.22185636,0.55241895,2016-04-15
0.051711462,0.6147671,0,0,3.9645238,2.816698,0.7477196,3.7643633,0,0,0,0,0.47057688,0.21078265,0.5222193,2016-04-18
0.033301428,0.5843622,0,0,3.9227335,2.7780144,0.7660957,3.7383528,0,0,0,0,0.4485021,0.21358386,0.49789357,2016-04-19
0.016539898,0.55621743,0,0,3.8837996,2.7417958,0.78714305,3.714005,0,0,0,0,0.42596507,0.21355367,0.47096056,2016-04-20
0,0.52785635,0,0,3.8407638,2.7002451,0.80373776,3.6815622,0,0,0,0,0.40597987,0.22060633,0.4489494,2016-04-21
0,0.49972796,0,0,3.8043094,2.6631832,0.8235965,3.6529615,0,0,0,0,0.3888105,0.22830257,0.4249665,2016-04-22
0,0.47802052,0,0,3.769899,2.6246762,0.83828247,3.6231966,0,0,0,0,0.3713912,0.23011202,0.3993792,2016-04-25
0,0.46010992,0,0,3.7267563,2.5741858,0.8395096,3.5784533,0,0.005394079,0,0,0.3560407,0.23387781,0.37760484,2016-04-26
0,0.4393495,0,0,3.695285,2.5370424,0.8486443,3.5510058,0,0.016614117,0,0,0.33771884,0.23391989,0.35168135,2016-04-27
0,0.41703248,0,0,3.670445,2.5035634,0.85614514,3.5280833,0,0.023715239,0,0,0.3239925,0.24601999,0.3337549,2016-04-28
0,0.39983758,0,0,3.6403658,2.4694388,0.8618155,3.501146,0,0.029581107,0,0,0.30849183,0.2528274,0.31661248,2016-04-29
0,0.3815227,0,0,3.6147842,2.439792,0.8661894,3.477699,0,0.031547897,0,0,0.2982533,0.2705256,0.30871463,2016-05-02
0,0.37684786,0,0,3.5864763,2.4115326,0.8604771,3.451463,0,0.029191848,0,0,0.28335786,0.27373424,0.30238825,2016-05-03
0,0.36934406,0,0,3.568366,2.392371,0.8560083,3.428955,0,0.021493413,0,0,0.27251297,0.2868403,0.3036254,2016-05-04
0,0.37414187,0,0,3.5579607,2.3835976,0.85061634,3.420806,0,0.014835298,0,0,0.2565502,0.280753,0.30025357,2016-05-09
0,0.38101894,0,0,3.557289,2.3855474,0.842733,3.4257858,0,0.004811397,0,0,0.23946036,0.2687187,0.29732013,2016-05-10
0,0.38803926,0,0,3.5516262,2.3869326,0.8299316,3.426967,0,0,0,0,0.22150217,0.2544663,0.29636547,2016-05-11
0,0.39352798,0,0,3.556231,2.3949542,0.8173568,3.434851,0,0,0,0,0.21000482,0.24718925,0.3005682,2016-05-12
0,0.39838067,0,0,3.5638742,2.404058,0.80521894,3.439863,0,0,0,0,0.20409662,0.24872524,0.3108377,2016-05-13
0,0.40470588,0,0,3.5786057,2.4222758,0.79976887,3.4545565,0,0,0,0,0.2011587,0.25134745,0.32373694,2016-05-16
0,0.41448194,0,0,3.6031728,2.443738,0.7898871,3.471319,0,0,0,0,0.20669077,0.25494516,0.33997333,2016-05-17
0,0.43223965,0,0,3.6129217,2.4544437,0.7762615,3.4782894,0,0,0,0,0.20098445,0.23771876,0.34343475,2016-05-18
0,0.44918674,0,0,3.6376216,2.477751,0.76115,3.4989226,0,0,0,0,0.2019385,0.22330114,0.35245675,2016-05-19
0.000970095,0.46252856,0,0,3.66715,2.5075467,0.7496934,3.5261798,0,0,0,0,0.2071866,0.21614274,0.36769122,2016-05-20
0.003780566,0.47427082,0,0,3.6958327,2.536814,0.74102545,3.5517416,0,0,0,0,0.21438001,0.21500587,0.38620272,2016-05-23
0.007754706,0.48891774,0,0,3.7224636,2.566965,0.7336137,3.5771291,0,0,0,0,0.22223838,0.21072567,0.4052956,2016-05-24
0.012851901,0.5065252,0,0,3.7529542,2.6002073,0.72697026,3.6073215,0,0,0,0,0.23303288,0.20604923,0.4267217,2016-05-25
0.016225819,0.52087986,0,0,3.7775667,2.6292107,0.71906316,3.630271,0,0,0,0,0.24352428,0.20302731,0.4481011,2016-05-26
0.014305212,0.5313959,0,0,3.8035893,2.6586394,0.714456,3.6515715,0,0,0,0,0.2570554,0.20889384,0.47260773,2016-05-27
0.013711818,0.5434723,0,0,3.8295498,2.6831203,0.707408,3.6654048,0,0,0,0,0.27174246,0.21741763,0.49722892,2016-05-30
0.012099624,0.55620354,0,0,3.8537138,2.7116945,0.7072556,3.685792,0,0,0,0,0.28179243,0.21962711,0.5190186,2016-05-31
0.008384295,0.5649241,0,0,3.8701458,2.7326086,0.70756274,3.694614,0,0,0,0,0.29178262,0.22757593,0.5402888,2016-06-01
0.002619825,0.57665,0,0,3.8909252,2.7602155,0.7115769,3.7153387,0,0,0,0,0.2994193,0.23398674,0.56067026,2016-06-02
0,0.5930256,0,0,3.9072688,2.786033,0.71369714,3.7299452,0,0,0,0,0.3097457,0.24150315,0.5849841,2016-06-03
0,0.611874,0,0,3.926008,2.8161626,0.7173317,3.7490985,0,0,0,0,0.31947666,0.24640727,0.60957825,2016-06-07
0,0.6277533,0,0,3.9426885,2.84614,0.71949327,3.7704556,0,0,0,0,0.32199693,0.24578011,0.62842995,2016-06-08
0,0.63992065,0,0,3.9577713,2.8727334,0.7213533,3.7895422,0,0,0,0,0.32212636,0.24759614,0.6443019,2016-06-09
0,0.65049624,0,0,3.9790804,2.9014297,0.7231306,3.8113704,0,0,0,0,0.3251967,0.25316718,0.6597033,2016-06-10
0,0.6618308,0,0,4.001618,2.9274166,0.7166945,3.8291893,0,0,0,0,0.3306049,0.25621858,0.67370707,2016-06-13
0,0.6737869,0,0,4.0236664,2.956162,0.7161736,3.8516202,0,0,0,0,0.33679378,0.26224172,0.6916801,2016-06-14
0,0.690541,0,0,4.0441475,2.984578,0.71438956,3.867773,0,0,0,0,0.3491077,0.2712413,0.7166496,2016-06-15
0,0.7094712,0,0,4.070128,3.0179152,0.7108229,3.8894274,0,0,0,0,0.36427066,0.27953357,0.7452931,2016-06-16
0,0.7261895,0,0,4.0779724,3.0361645,0.70339197,3.8913002,0,0,0,0,0.37423718,0.28957525,0.7725004,2016-06-17
0,0.74688625,0,0,4.0923777,3.0616968,0.702339,3.8989432,0,0,0,0,0.39302295,0.3046986,0.8062011,2016-06-20
0,0.76223195,0,0,4.091856,3.0771573,0.6989036,3.8952823,0,0,0,0,0.4006475,0.3147601,0.8330384,2016-06-21
0,0.7757256,0,0,4.0882835,3.090576,0.69653034,3.8909967,0,0,0,0,0.4058505,0.3223668,0.85631204,2016-06-22
