단순 기관경쟁률,의무보유확약비율,(확정)공모가격,청약경쟁률,공모후 발행주식수,유동자산,비유동자산,유동부채,비유동부채,자본금,이익잉여금,기타자본항목,영업이익,당기순이익,매출액,최대주주 소유주 비율,최대주주 보호예수 기간,보호예수 비율,DLR,PPI (%),기업경기실사지수(BSI),기준금리,대표매매감정점수,latent_1,latent_2,latent_3,latent_4,latent_5,latent_6,latent_7,latent_8,latent_9,latent_10,latent_11,latent_12,latent_13,latent_14,latent_15,Growth,Infra,Protective,Sensitive,등락율_이진
1652.13,7.67,16900,1181,9855420,20478420097,2188188485,8775265601,175205096,4155210000,-2225003163,16757104,-2321393934,-2142105260,4603981720,22.32,3,65.85,93.33,100,-3.797468354,8.333333333,-0.54096,5.518128,0.77793723,2.5178337,1.8405848,1.6735528,0,0.8239371,0,0,0.437994,0.84913796,0,0,0,0,0,0,0,1,1
28.68,0,14500,0,9100084,24546037353,6984272401,7394098131,551151570,3611112000,8306119277,62471024,10209895170,2840733056,69474763064,51.89,6,62.12,93.75,0,0,0,-0.431594,0.14796627,0.70734483,1.723546,0.5958344,0.35137153,0,0.089678764,0,1.1986,0.910454,0.13069084,0.50011945,1.3681648,2.9276652,1.1045989,0,0,1,0,0
93.92,28.32,21000,2,10314000,22561238211,42751363056,29712121460,16911594837,4117000000,10399287474,1361970566,8108840509,6379407315,56166884783,51.78,6,54.91,93.33,0,-2.777777778,0,-0.226824,0,1.3960543,1.7867042,3.2891755,0.526816,0,0,0.5808718,0.36567286,1.7612209,2.4386165,2.6370943,1.4635985,3.4482734,0.3647119,0,0,1,0,1
501.2,7.8,17500,521,7903379,45124589155,42678869260,24738224389,3440041613,3076189500,51103124798,2745663315,4350929653,3968911168,24433455687,38.65,6,47.68,92.86,125,-4,0,-1.489745,0,1.2042723,1.5222741,1.9647235,1.2615677,0,0,0.06959765,0.48619756,0.93678993,1.6342462,1.3183435,1.6826787,3.2946954,0.4994164,1,0,0,0,0
1082.35,0.14,13000,116,9147948,9327001956,20359283663,9334398112,3464777631,3955974000,-4949802391,688210343,47982526,119876072,10010175106,24.57,24,65.52,70,100,-2.777777778,-7.692307692,-0.39029,6.1001463,0.584239,4.2153196,3.1747017,0,0,0,0.037678156,1.6587888,3.8720999,0,0,0.3448268,0.8366377,0,1,0,0,0,0
85.25,15.9,27700,26,12731947,1.27E+11,2.12E+11,1.15E+11,24548992097,12922030000,1.64E+11,-8550622960,54190097149,36352275797,2.95E+11,50.81,6,69.51,93.33,100,0,0,-0.479311,0,1.177022,1.5841272,3.3247082,1.1031215,0,0,0.21539372,0.14024016,1.8713439,3.0008895,3.0794966,1.9824457,3.7569296,0.2746094,0,0,0,1,0
254.74,0.34,15000,151,17000000,82546653186,71671824256,48126804154,47416135170,1500000000,50077191440,6952014307,36767076230,19587673856,95870723865,75.59,2,85.29,94.74,0,3.614457831,16.66666667,-0.041681,2.5523295,1.2899975,3.1317663,0.31962836,0,0,0.115446836,0,2.620301,1.9654415,0,0,0,0,0,0,0,0,1,0
1,15.6,5200,1268,8324420,37081103396,30932031156,22723834278,11173114946,3279960000,29781454108,148839630,1624485712,1574762505,14493937691,53.11,1,68.02,93.33,100,2.739726027,-14.28571429,0.869052,0.1767495,0.49246573,1.7129706,0.22089171,0.7579703,0,0.026480604,0,1.1024203,1.0581127,0,0.48620707,1.7007719,2.714029,0.90788555,0,0,0,1,1
995.4,42.25,31000,837,3232600,11627752572,3460149986,4824351277,375697025,1304000000,7271557134,1311097122,3061834502,2549996735,10952817427,14.06,6,74.63,94.74,283.33,-5.194805195,16.66666667,0.629978,0.28941697,0.7321598,2.0812593,0.65630376,0,0,0.013242155,0,1.4630917,1.2009096,0,0.5189389,1.4229628,2.894152,1.1933769,1,0,0,0,1
1934.89,4.47,9000,1136,13278546,87308076029,55457028314,89150126187,22633300695,900000000,21981182928,351950415,11691678673,7457425500,1.03E+11,48.97,2,65.85,94.44,100,-3.658536585,11.11111111,0.700368,3.247236,1.0095564,1.6317818,0.39042613,1.9039665,0,1.1098028,0,0.4488379,0,0.16244164,0,0,0,0,0,0,0,1,1
